pressure,height,temperature,dewpoint,direction,speed,u_wind,v_wind,station,station_number,time,latitude,longitude,elevation,pw
695.0,3207.0,1.8,-2.7,175.0,2.0,-0.1743114854953164,1.992389396183491,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
691.0,3254.0,1.4,-2.9,175.0,3.0,-0.2614672282429746,2.988584094275237,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
685.0,3324.0,0.9,-3.5,175.0,4.0,-0.3486229709906328,3.984778792366982,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
664.0,3574.0,-0.7,-5.6,195.0,9.0,2.329371405922687,8.693332436601615,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
657.0,3659.0,-1.3,-6.3,202.0,8.0,2.996852747327296,7.417470836534299,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
654.0,3695.0,-1.6,-6.6,205.0,8.0,3.380946093925594,7.2504622962932,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
644.0,3818.0,-2.5,-7.5,195.0,8.0,2.0705523608201664,7.7274066103125465,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
640.0,3868.0,-2.7,-7.7,202.0,10.0,3.74606593415912,9.271838545667874,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
621.0,4108.0,-1.5,-16.5,233.0,20.0,15.972710200945857,12.036300463040966,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
615.0,4185.0,-1.9,-17.9,243.0,23.0,20.49315005633246,10.441781494009579,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
614.0,4198.0,-1.9,-18.1,245.0,24.0,21.7513868888796,10.142838281776779,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
607.0,4289.0,-1.8,-19.6,250.0,28.0,26.311393382005434,9.57656401311872,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
602.0,4355.0,-1.7,-20.7,247.0,29.0,26.69464075012077,11.331202726188941,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
598.0,4408.0,-1.8,-22.4,245.0,29.0,26.28292582406285,12.255929590480276,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
590.0,4516.0,-2.1,-25.7,250.0,28.0,26.311393382005434,9.57656401311872,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
589.0,4529.0,-2.1,-26.1,249.0,28.0,26.140251941921647,10.03430258726842,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
581.0,4637.0,-3.0,-25.4,245.0,26.0,23.5640024629529,10.988074805258178,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
550.0,5070.0,-6.5,-22.5,254.0,25.0,24.031542398457976,6.890933895424972,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
548.0,5098.0,-6.7,-23.7,255.0,25.0,24.148145657226706,6.470476127563016,EPZ,72364,2026-02-11 12:00:00,31.86,-106.7,1252.0,14.99
